cyl,am,gear,item,mpg,wt,noData
4,0,3,mean,21.5,2.465,1
4,0,3,min,21.5,2.465,1
4,0,3,max,21.5,2.465,1
4,0,3,sd,-,-,1
4,0,4,mean,23.6,3.17,2
4,0,4,min,22.8,3.15,2
4,0,4,max,24.4,3.19,2
4,0,4,sd,1.1,0.028,2
4,1,4,mean,28,2.114,6
4,1,4,min,21.4,1.615,6
4,1,4,max,33.9,2.78,6
4,1,4,sd,5.1,0.413,6
4,1,5,mean,28.2,1.826,2
4,1,5,min,26,1.513,2
4,1,5,max,30.4,2.14,2
4,1,5,sd,3.1,0.443,2
6,0,3,mean,19.8,3.337,2
6,0,3,min,18.1,3.215,2
6,0,3,max,21.4,3.46,2
6,0,3,sd,2.3,0.173,2
6,0,4,mean,18.5,3.44,2
6,0,4,min,17.8,3.44,2
6,0,4,max,19.2,3.44,2
6,0,4,sd,1,0,2
6,1,4,mean,21,2.748,2
6,1,4,min,21,2.62,2
6,1,4,max,21,2.875,2
6,1,4,sd,0,0.18,2
6,1,5,mean,19.7,2.77,1
6,1,5,min,19.7,2.77,1
6,1,5,max,19.7,2.77,1
6,1,5,sd,-,-,1
8,0,3,mean,15.1,4.104,12
8,0,3,min,10.4,3.435,12
8,0,3,max,19.2,5.424,12
8,0,3,sd,2.8,0.768,12
8,1,5,mean,15.4,3.37,2
8,1,5,min,15,3.17,2
8,1,5,max,15.8,3.57,2
8,1,5,sd,0.6,0.283,2
